
Polymorphisms at the G72/G30 gene locus, on 13q33, are associated with bipolar disorder in two independent pedigree series||http://www.sciencedirect.com/science/article/pii/S0002929707606417||2003||292||17||13943563382019784813||None||http://scholar.google.com/scholar?cites=13943563382019784813&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=13943563382019784813&hl=en&as_sdt=0,5||None||Linkage evidence suggests that chromosome 13 (13q32-33) contains susceptibility genes for both bipolar disorder and schizophrenia. Recently, genes called “G72” and “G30” were identified, and polymorphisms of these overlapping genes were reported to be associated with schizophrenia. We studied two series of pedigrees with bipolar disorder: the Clinical Neurogenetics (CNG) pedigrees (in which linkage to illness had been previously reported  ...||E Hattori, C Liu, JA Badner, TI Bonner… - The American Journal of …

Ordered-subsets linkage analysis detects novel Alzheimer disease loci on chromosomes 2q34 and 15q22||http://www.sciencedirect.com/science/article/pii/S0002929707619673||2003||95||21||16641051722096110189||None||http://scholar.google.com/scholar?cites=16641051722096110189&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=16641051722096110189&hl=en&as_sdt=0,5||None||Alzheimer disease (AD) is a complex disorder characterized by a wide range, within and between families, of ages at onset of symptoms. Consideration of age at onset as a covariate in genetic-linkage studies may reduce genetic heterogeneity and increase statistical power. Ordered-subsets analysis includes continuous covariates in linkage analysis by rank ordering families by a covariate and summing LOD scores to find a subset giving a  ...||WK Scott, ER Hauser, DE Schmechel… - The American Journal of …

Genomewide linkage analyses of bipolar disorder: a new sample of 250 pedigrees from the National Institute of Mental Health Genetics Initiative||http://www.sciencedirect.com/science/article/pii/S0002929707636489||2003||209||11||15205782360766609771||None||http://scholar.google.com/scholar?cites=15205782360766609771&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=15205782360766609771&hl=en&as_sdt=0,5||None||We conducted genomewide linkage analyses on 1,152 individuals from 250 families segregating for bipolar disorder and related affective illnesses. These pedigrees were ascertained at 10 sites in the United States, through a proband with bipolar I affective disorder and a sibling with bipolar I or schizoaffective disorder, bipolar type. Uniform methods of ascertainment and assessment were used at all sites. A 9-cM screen was  ...||DM Dick, T Foroud, L Flury, ES Bowman… - The American Journal of …

A genomewide screen of 345 families for autism-susceptibility loci||http://www.sciencedirect.com/science/article/pii/S0002929707636362||2003||274||15||6552399301989295903||None||http://scholar.google.com/scholar?cites=6552399301989295903&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=6552399301989295903&hl=en&as_sdt=0,5||None||We previously reported a genomewide scan to identify autism-susceptibility loci in 110 multiplex families, showing suggestive evidence (P<. 01) for linkage to autism-spectrum disorders (ASD) on chromosomes 5, 8, 16, 19, and X and showing nominal evidence (P<. 05) on several additional chromosomes (2, 3, 4, 10, 11, 12, 15, 18, and 20). In this follow-up analysis we have increased the sample size threefold, while holding the study design  ...||AL Yonan, M Alarcon, R Cheng… - The American Journal of …

Polymorphisms in the trace amine receptor 4 (TRAR4) gene on chromosome 6q23. 2 are associated with susceptibility to schizophrenia||http://www.sciencedirect.com/science/article/pii/S000292970762713X||2004||89||19||14016419211506872883||None||http://scholar.google.com/scholar?cites=14016419211506872883&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=14016419211506872883&hl=en&as_sdt=0,5||None||Several linkage studies across multiple population groups provide convergent support for a susceptibility locus for schizophrenia—and, more recently, for bipolar disorder—on chromosome 6q13-q26. We genotyped 192 European-ancestry and African American (AA) pedigrees with schizophrenia from samples that previously showed linkage evidence to 6q13-q26, focusing on the MOXD1-STX7-TRARs gene cluster at 6q23. 2, which contains  ...||J Duan, M Martinez, AR Sanders, C Hou… - The American Journal of …

Genetic variation at the 22q11 PRODH2/DGCR6 locus presents an unusual pattern and increases susceptibility to schizophrenia||http://www.pnas.org/content/99/6/3717.short||2002||344||20||4029895187096667894||None||http://scholar.google.com/scholar?cites=4029895187096667894&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=4029895187096667894&hl=en&as_sdt=0,5||None||Abstract The location of a schizophrenia susceptibility locus at chromosome 22q11 has been suggested by genome-wide linkage studies. Additional support was provided by the observation of a higher-than-expected frequency of 22q11 microdeletions in patients with schizophrenia and the demonstration that≈ 20–30% of individuals with 22q11 microdeletions develop schizophrenia or schizoaffective disorder in adolescence and  ...||H Liu, SC Heath, C Sobin, JL Roos… - Proceedings of the  …

Assessment of the effect of age at onset on linkage to bipolar disorder: evidence on chromosomes 18p and 21q||http://www.sciencedirect.com/science/article/pii/S0002929707610039||2005||52||15||13729138437287640216||None||http://scholar.google.com/scholar?cites=13729138437287640216&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=13729138437287640216&hl=en&as_sdt=0,5||None||Previous evidence suggests that the inheritance of bipolar disorder (BP) may vary depending on the age at onset (AAO). Therefore, we sought to incorporate AAO as a covariate in linkage analyses of BP using two different methods, LODPAL and ordered-subset analysis (OSA), in genomewide scans of 150 multiplex pedigrees with 874 individuals. The LODPAL analysis identified two loci, on chromosomes 21q22. 13 (LOD=  ...||PI Lin, MG McInnis, JB Potash, VL Willour… - The American Journal of …

Combined analysis from eleven linkage studies of bipolar disorder provides strong evidence of susceptibility loci on chromosomes 6q and 8q||http://www.sciencedirect.com/science/article/pii/S0002929707610064||2005||260||17||8412572657236575736||None||http://scholar.google.com/scholar?cites=8412572657236575736&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=8412572657236575736&hl=en&as_sdt=0,5||None||Several independent studies and meta-analyses aimed at identifying genomic regions linked to bipolar disorder (BP) have failed to find clear and consistent evidence of linkage regions. Our hypothesis is that combining the original genotype data provides benefits of increased power and control over sources of heterogeneity that outweigh the difficulty and potential pitfalls of the implementation. We conducted a combined analysis using the  ...||MB McQueen, B Devlin, SV Faraone… - The American Journal of …
Combined Analysis from Eleven Linkage Studies of Bipolar Disorder Provides Strong Evidence of Susceptibility Loci on Chromosomes 6q and 8q||http://ir.kmu.edu.tw/handle/310902000/17183||2005||0||2||None||None||None||http://scholar.google.com/scholar?cluster=11620981646216828800&hl=en&as_sdt=0,5||None||Several independent studies and meta-analyses aimed at identifying genomic regions linked to bipolar disorder (BP) have failed to find clear and consistent evidence of linkage regions. Our hypothesis is that combining the original genotype data provides benefits of increased power and control over sources of heterogeneity that outweigh the difficulty and potential pitfalls of the implementation. We conducted a combined analysis using the  ...||卓夙航 -

Family-based tests of association in the presence of linkage||http://www.sciencedirect.com/science/article/pii/S0002929707632200||2000||269||14||16095503633007880987||None||http://scholar.google.com/scholar?cites=16095503633007880987&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=16095503633007880987&hl=en&as_sdt=0,5||None||Linkage analysis may not provide the necessary resolution for identification of the genes underlying phenotypic variation. This is especially true for gene-mapping studies that focus on complex diseases that do not exhibit Mendelian inheritance patterns. One positional genomic strategy involves application of association methodology to areas of identified linkage. Detection of association in the presence of linkage localizes the gene (s) of  ...||SL Lake, D Blacker, NM Laird - The American Journal of Human Genetics

Single-nucleotide polymorphism rs498055 on chromosome 10q24 is not associated with Alzheimer disease in two independent family samples||None||2006||12||7||2039669623780346218||None||http://scholar.google.com/scholar?cites=2039669623780346218&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=2039669623780346218&hl=en&as_sdt=0,5||None||None||L Bertram, M Hsiao, C Lange, D Blacker… - The American Journal of  …

Revealing the role of glutathione S-transferase omega in age-at-onset of Alzheimer and Parkinson diseases||http://www.sciencedirect.com/science/article/pii/S0197458005001533||2006||61||18||17492713257401199668||None||http://scholar.google.com/scholar?cites=17492713257401199668&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=17492713257401199668&hl=en&as_sdt=0,5||None||We previously reported a linkage region on chromosome 10q for age-at-onset (AAO) of Alzheimer (AD) and Parkinson (PD) diseases. Glutathione S-transferase, omega-1 (GSTO1) and the adjacent gene GSTO2, located in this linkage region, were then reported to associate with AAO of AD and PD. To examine whether GSTO1 and GSTO2 (hereafter referred to as GSTO1h) are responsible for the linkage evidence, we identified 39 families  ...||YJ Li, WK Scott, L Zhang, PI Lin, SA Oliveira… - Neurobiology of  …

Common variations in ALG9 are not associated with bipolar I disorder: a family-based study||http://scholar.google.com/https://behavioralandbrainfunctions.biomedcentral.com/articles/10.1186/1744-9081-2-25||2006||3||21||13921317830567673852||None||http://scholar.google.com/scholar?cites=13921317830567673852&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=13921317830567673852&hl=en&as_sdt=0,5||None||Background A mannosyltransferase gene (ALG9, DIBD1) at chromosome band 11q23 was previously identified to be disrupted by a balanced chromosomal translocation t (9; 11)(p24; q23) co-segregating with bipolar affective disorder in a small family. Inborn ALG9 deficiency (congenital disorders of glycosylation type IL) is associated with progressive microcephaly, seizures, developmental delay, and hepatomegaly. It is unknown whether common  ...||BE Baysal, JE Willett-Brozick… - Behavioral  …

No association between a previously reported OLR1 3′ UTR polymorphism and Alzheimer's disease in a large family sample||http://jmg.bmj.com/content/41/4/286.short||2004||14||11||3498466785451371003||None||http://scholar.google.com/scholar?cites=3498466785451371003&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=3498466785451371003&hl=en&as_sdt=0,5||None||Recently, two studies1 2 reported independent evidence of genetic association between a 39 UTR single nucleotide polymorphism (SNP; rs1050283, also known as ''+ 1073'') in the oxidised LDL receptor 1 gene (OLR1) on chromosome 12p13. 2 and risk for Alzheimer's disease (AD). The implied chromosomal area is a highly promising AD candidate region because both genetic linkage and association studies have reported significant signals to  ...||L Bertram, M Parkinson, K Mullin, R Menon… - Journal of medical  …

Genetic evidence implicating DARPP-32 in human frontostriatal structure, function, and cognition||http://scholar.google.com/https://www.jci.org/articles/view/JCI30413v1||2007||185||16||17675205751520962579||None||http://scholar.google.com/scholar?cites=17675205751520962579&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=17675205751520962579&hl=en&as_sdt=0,5||None||Dopamine-and cAMP-regulated phosphoprotein of molecular weight 32 kDa (DARPP-32), encoded by PPP1R1B, is a pivotal integrator of information in dopaminoceptive neurons, regulating the response to neuroleptics, psychotomimetics, and drugs of abuse, and affecting striatal function and plasticity. Despite extensive preclinical work, there are almost no data on DARPP-32 function in humans. Here, we identify, through resequencing in 298  ...||A Meyer-Lindenberg, RE Straub… - The Journal of  …

Carbon dioxide provocation of anxiety and respiratory response in bipolar disorder||http://www.sciencedirect.com/science/article/pii/S0165032706003648||2007||10||9||3585220456370551713||None||http://scholar.google.com/scholar?cites=3585220456370551713&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=3585220456370551713&hl=en&as_sdt=0,5||None||BACKGROUND: Frequent bipolar/panic comorbidity implies bipolar individuals may experience CO2-provoked anxiety and changes in respiratory patterns similar to those experienced by individuals with panic disorder. METHODS: 16 euthymic bipolar individuals breathed air and air combined with 5% CO2 for 15 min each. Respiratory and subjective anxiety measures were collected. RESULTS: On CO2 subjects were more anxious and  ...||DF MacKinnon, B Craighead, R Hoehn-Saric - Journal of affective  …

Association of synapsin 2 with schizophrenia in families of Northern European ancestry||http://www.sciencedirect.com/science/article/pii/S0920996407003325||2007||50||10||287421540013064648||None||http://scholar.google.com/scholar?cites=287421540013064648&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=287421540013064648&hl=en&as_sdt=0,5||None||The synapsin 2 (Syn2) gene (3p25) is implicated in synaptogenesis, neurotransmitter release, and the localization of nitric oxide synthase to the proximity of its targets. In this study we investigated linkage and association between the Syn2 locus and schizophrenia. 37 pedigrees of Northern European ancestry from the NIMH Human Genetics Initiative collection were used. Four microsatellites and twenty SNPs were genotyped. Linkage ( ...||V Saviouk, MP Moreau, IV Tereshchenko… - Schizophrenia  …

No association between schizophrenia and polymorphisms of the PlexinA2 gene in Chinese Han Trios||http://scholar.google.com/https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2276648/||2008||9||13||14739447915958097760||None||http://scholar.google.com/scholar?cites=14739447915958097760&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=14739447915958097760&hl=en&as_sdt=0,5||None||Multiple genetic, environmental and developmental factors have been implicated (Hyman, 1999; Riley et al., 2000) in the etiology of schizophrenia. Axon guidance molecules may be considered candidate genes to explain an early developmental abnormality underlying schizophrenia. Plexin A2, a member of the semaphorin receptor family, is an axon guidance receptor widely expressed in the brain (Takahashi et al., 1999). A genome-wide  ...||S Budel, S Shim, Z Feng, H Zhao, F Hisama… - Schizophrenia  …

BDNF Val66Met variant and age of onset in schizophrenia||http://onlinelibrary.wiley.com/doi/10.1002/ajmg.b.30619/full||2008||56||7||2075995059404919162||None||http://scholar.google.com/scholar?cites=2075995059404919162&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=2075995059404919162&hl=en&as_sdt=0,5||None||Abstract Brain-derived neurotrophic factor (BDNF) has been advanced as a candidate gene for schizophrenia by virtue of its effects on neurotransmitter systems that are dysregulated in psychiatric disorder and its involvement in the response to antipsychotic drugs. The extensively examined BDNF gene Val66Met (or rs6265) variant has been associated with schizophrenia, and studies have linked this polymorphism to brain morphology, cognitive  ...||HM Chao, HT Kao, B Porton - American Journal of Medical  …

Linkage disequilibrium mapping of a chromosome 15q25-26 major depression linkage region and sequencing of NTRK3||http://www.sciencedirect.com/science/article/pii/S0006322308001662||2008||38||13||2915552034713250896||None||http://scholar.google.com/scholar?cites=2915552034713250896&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=2915552034713250896&hl=en&as_sdt=0,5||None||BACKGROUND: We reported genome-wide significant linkage on chromosome 15q25. 3-26.2 to recurrent early-onset major depressive disorder (MDD-RE). Here we present initial linkage-disequilibrium (LD) fine mapping of this signal and sequence analysis of NTRK3 (neurotrophic receptor kinase-3), a biologically plausible candidate gene. METHODS: In 300 pedigrees informative for family-based association, 1195 individuals were genotyped for  ...||R Verma, P Holmans, JA Knowles, D Grover… - Biological  …

Novel submicroscopic chromosomal abnormalities detected in autism spectrum disorder||http://www.sciencedirect.com/science/article/pii/S0006322308001030||2008||275||13||14180072265949501501||None||http://scholar.google.com/scholar?cites=14180072265949501501&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=14180072265949501501&hl=en&as_sdt=0,5||None||BACKGROUND: One genetic mechanism known to be associated with autism spectrum disorders (ASD) is chromosomal abnormalities. The identification of copy number variants (CNV), ie, microdeletions and microduplications that are undetectable at the level of traditional cytogenetic analysis, allows the potential association of submicroscopic chromosomal imbalances and human disease. METHODS: We performed array  ...||SL Christian, CW Brune, J Sudi, RA Kumar, S Liu… - Biological  …

Genetic variants in the cocaine-and amphetamine-regulated transcript gene (CARTPT) and cocaine dependence||http://www.sciencedirect.com/science/article/pii/S0304394008007362||2008||12||10||4240509698580229233||None||http://scholar.google.com/scholar?cites=4240509698580229233&as_sdt=2005&sciodt=0,5&hl=en||http://scholar.google.com/scholar?cluster=4240509698580229233&hl=en&as_sdt=0,5||None||Dopaminergic brain systems have been implicated to play a major role in drug reward, thus making genes involved in these circuits plausible candidates for susceptibility to substance use disorders. The cocaine-and amphetamine-regulated transcript peptide (CARTPT) is involved in reward and feeding behavior and has functional characteristics of an endogenous psychostimulant. In this study we tested the hypothesis that variation in the  ...||FW Lohoff, PJ Bloch, AE Weller, AH Nall, GA Doyle… - Neuroscience  …

